ID,Case Number,Date,Block,IUCR,Primary Type,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude
10762095,HZ523097,12/29/2015 11:45,057XX N LINCOLN AVE,1122,DECEPTIVE PRACTICE,TRUE,FALSE,2011,20,40,2,10,,,2015,1/14/2017 15:47,,
11034772,JA368149,7/29/2017 8:55,037XX W ROOSEVELT RD,2024,NARCOTICS,TRUE,FALSE,1133,11,24,29,18,1151592,1894452,2017,8/5/2017 15:50,41.86625461,-87.71896767
11034773,JA368137,7/29/2017 3:00,0000X W KINZIE ST,320,ROBBERY,FALSE,FALSE,1831,18,42,8,3,1176088,1903018,2017,8/5/2017 15:50,41.88924396,-87.62878307
11034777,JA368127,7/29/2017 8:30,130XX S ELLIS AVE,4387,OTHER OFFENSE,FALSE,TRUE,533,5,9,54,26,1185301,1818803,2017,8/5/2017 15:50,41.65793791,-87.59759554
11034784,JA368140,7/29/2017 8:00,040XX W 58TH PL,495,BATTERY,TRUE,TRUE,813,8,13,62,04B,1150345,1865501,2017,8/5/2017 15:50,41.78683353,-87.72429899
11034789,JA368224,7/29/2017 9:55,015XX S KEDZIE AVE,486,BATTERY,FALSE,TRUE,1022,10,24,29,08B,1155269,1892596,2017,8/5/2017 15:50,41.86108854,-87.70551884
11034790,JA368209,7/29/2017 5:07,077XX N HASKINS AVE,1310,CRIMINAL DAMAGE,FALSE,FALSE,2422,24,49,1,14,1163173,1951318,2017,8/5/2017 15:50,42.02206269,-87.67484904
11034792,JA368076,7/29/2017 7:10,028XX S TROY ST,486,BATTERY,FALSE,TRUE,1033,10,12,30,08B,1155825,1884977,2017,8/5/2017 15:50,41.84016996,-87.70368294
11034795,JA368187,7/29/2017 8:00,020XX W NORTH AVE,820,THEFT,FALSE,FALSE,1434,14,32,24,6,1162372,1910640,2017,8/5/2017 15:50,41.9104573,-87.67894008
10633572,HZ385842,5/10/2016 17:00,071XX S VERNON AVE,1310,CRIMINAL DAMAGE,FALSE,FALSE,323,3,6,69,14,,,2016,8/11/2016 15:53,,
10632501,HZ385212,3/1/2016 0:00,114XX S LOTHAIR AVE,1752,OFFENSE INVOLVING CHILDREN,FALSE,TRUE,2212,22,19,75,20,,,2016,8/10/2016 15:55,,
10632535,HZ385219,1/1/2016 0:00,024XX S TRUMBULL AVE,1751,OFFENSE INVOLVING CHILDREN,FALSE,TRUE,1024,10,22,30,20,,,2016,8/10/2016 15:55,,
11034797,JA368177,7/29/2017 8:37,007XX N WABASH AVE,1320,CRIMINAL DAMAGE,FALSE,FALSE,1833,18,42,8,14,1176598,1905516,2017,8/5/2017 15:50,41.89608709,-87.62683463
10632512,HZ385214,5/1/2016 0:00,054XX W FULLERTON AVE,266,CRIM SEXUAL ASSAULT,FALSE,TRUE,2515,25,30,19,2,,,2016,8/24/2016 15:48,,
11034799,JA368152,7/29/2017 9:00,0000X E ONTARIO ST,820,THEFT,FALSE,FALSE,1834,18,42,8,6,1176399,1904492,2017,8/5/2017 15:50,41.89328168,-87.62759645
10632563,HZ385223,5/1/2016 0:00,030XX N MAJOR AVE,1754,OFFENSE INVOLVING CHILDREN,FALSE,TRUE,2514,25,30,19,2,,,2016,8/10/2016 15:55,,
10632063,HZ384488,6/10/2016 12:00,043XX N ASHLAND AVE,1130,DECEPTIVE PRACTICE,FALSE,FALSE,1912,19,47,6,11,,,2016,8/10/2016 15:55,,
10632566,HZ384990,5/25/2016 9:49,061XX N LINCOLN AVE,1130,DECEPTIVE PRACTICE,FALSE,FALSE,1711,17,50,13,11,,,2016,8/10/2016 15:55,,
10632213,HZ376098,8/3/2016 7:35,004XX W 38TH PL,820,THEFT,FALSE,FALSE,915,9,11,60,6,,,2016,8/10/2016 15:55,,
10632693,HZ384438,7/31/2016 23:50,004XX N MC CLURG CT,810,THEFT,FALSE,FALSE,1834,18,42,8,6,,,2016,8/10/2016 15:55,,
10632229,HZ384071,1/1/2012 0:01,082XX S LANGLEY AVE,1544,SEX OFFENSE,FALSE,TRUE,631,6,6,44,17,,,2012,8/10/2016 15:55,,
10632718,HZ385448,7/4/2016 10:24,008XX N LOCKWOOD AVE,2825,OTHER OFFENSE,FALSE,TRUE,1524,15,37,25,26,,,2016,8/10/2016 15:55,,
10632754,HZ385459,7/7/2016 9:00,033XX N KILDARE AVE,1140,DECEPTIVE PRACTICE,FALSE,FALSE,1731,17,31,16,12,,,2016,8/10/2016 15:55,,
10632776,HZ347990,7/13/2016 21:20,081XX S GREEN ST,486,BATTERY,FALSE,FALSE,613,6,21,71,08B,,,2016,8/10/2016 15:55,,
10629123,HZ376468,8/3/2016 12:45,004XX W 70TH ST,610,BURGLARY,FALSE,TRUE,732,7,6,68,5,,,2016,8/10/2016 15:55,,
10633731,HZ386200,4/24/2016 23:00,100XX W OHARE ST,810,THEFT,FALSE,FALSE,1651,16,41,76,6,,,2016,8/11/2016 15:53,,
10633799,HZ386269,5/6/2016 23:00,028XX N WHIPPLE ST,820,THEFT,FALSE,FALSE,1411,14,35,21,6,,,2016,8/11/2016 15:53,,
10636040,HZ388402,4/2/2014 15:00,014XX S MICHIGAN AVE,1130,DECEPTIVE PRACTICE,FALSE,FALSE,131,1,2,33,11,,,2014,8/12/2016 15:47,,
11034804,JA368125,7/29/2017 8:35,037XX W NORTH AVE,560,ASSAULT,FALSE,FALSE,2535,25,26,23,08A,1151459,1910380,2017,8/5/2017 15:50,41.90996531,-87.71903733
10617045,HZ356761,7/1/2016 9:45,008XX W OHARE ST,810,THEFT,FALSE,FALSE,1654,16,41,76,6,,,2016,8/12/2016 15:47,,
10392925,HY553904,12/29/2015 14:48,048XX N BROADWAY,1822,NARCOTICS,TRUE,FALSE,2033,20,48,3,18,,,2015,8/13/2016 15:49,,
10646440,HZ397410,7/5/2016 0:00,064XX S DR MARTIN LUTHER KING JR DR,560,ASSAULT,FALSE,FALSE,312,3,20,42,08A,,,2016,8/19/2016 15:56,,
10646655,HZ397138,8/3/2016 12:30,0000X W C12 ST,810,THEFT,FALSE,FALSE,1651,16,41,76,6,,,2016,8/19/2016 15:56,,
11034813,JA368176,7/29/2017 9:15,022XX W MONTROSE AVE,486,BATTERY,FALSE,TRUE,1911,19,47,5,08B,1160444,1929175,2017,8/5/2017 15:50,41.96135866,-87.68550829
10646702,HZ397812,9/1/2014 7:00,048XX S ELIZABETH ST,486,BATTERY,FALSE,TRUE,933,9,20,61,08B,,,2014,8/19/2016 15:56,,
10401106,HY556008,12/31/2015 11:33,043XX W MONROE ST,2017,NARCOTICS,TRUE,FALSE,1115,11,28,26,18,,,2015,8/13/2016 15:49,,
10401197,HY526203,12/5/2015 18:49,052XX W ADAMS ST,1821,NARCOTICS,TRUE,FALSE,1522,15,29,25,18,,,2015,8/13/2016 15:49,,
11034816,JA368136,7/29/2017 7:45,014XX E 67TH PL,486,BATTERY,TRUE,TRUE,332,3,5,43,08B,1186875,1860522,2017,8/5/2017 15:50,41.7723826,-87.59051897
10638389,HZ390014,5/12/2016 13:00,077XX S CARPENTER ST,560,ASSAULT,FALSE,FALSE,612,6,17,71,08A,,,2016,8/13/2016 15:51,,
10646866,HZ397735,7/17/2016 14:30,069XX S ASHLAND AVE,1152,DECEPTIVE PRACTICE,FALSE,FALSE,735,7,17,67,11,,,2016,8/19/2016 15:56,,
11034820,JA368103,7/29/2017 7:30,035XX W ROOSEVELT RD,454,BATTERY,TRUE,FALSE,1021,10,24,29,08B,1153056,1894484,2017,8/5/2017 15:50,41.86631355,-87.71359232
11034823,JA368104,7/29/2017 0:01,057XX S WENTWORTH AVE,1320,CRIMINAL DAMAGE,FALSE,FALSE,232,2,3,68,14,1175946,1866969,2017,8/5/2017 15:50,41.79032589,-87.63038802
10404873,HZ132247,1/28/2016 17:51,022XX S SPRINGFIELD AVE,2024,NARCOTICS,TRUE,FALSE,1013,10,22,30,18,,,2016,8/13/2016 15:49,,
10630881,HZ381381,8/6/2016 21:30,043XX W CULLERTON ST,486,BATTERY,FALSE,TRUE,1012,10,24,29,08B,,,2016,8/13/2016 15:51,,
10631097,HZ381392,8/6/2016 22:00,050XX W BERENICE AVE,486,BATTERY,FALSE,TRUE,1634,16,45,15,08B,,,2016,8/13/2016 15:51,,
10638645,HZ390157,2/24/2016 9:00,067XX S CLYDE AVE,1242,DECEPTIVE PRACTICE,FALSE,FALSE,331,3,5,43,11,,,2016,8/14/2016 15:50,,
10638716,HZ390222,7/2/2016 17:00,018XX S ASHLAND AVE,820,THEFT,FALSE,FALSE,1234,12,25,31,6,,,2016,8/14/2016 15:50,,
10641496,HZ393150,6/30/2016 14:00,068XX S BENNETT AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,332,3,5,43,11,,,2016,8/16/2016 15:49,,
10145290,HY334107,7/9/2003 0:01,050XX W MAYPOLE AVE,1750,OFFENSE INVOLVING CHILDREN,FALSE,TRUE,1532,15,28,25,20,,,2003,8/31/2015 15:43,,
10641526,HZ393126,6/27/2016 16:00,080XX S ST LAWRENCE AVE,910,MOTOR VEHICLE THEFT,FALSE,FALSE,631,6,6,44,7,,,2016,8/16/2016 15:49,,
10641529,HZ393102,6/23/2016 12:00,115XX S LA SALLE ST,1153,DECEPTIVE PRACTICE,FALSE,FALSE,522,5,34,53,11,,,2016,8/16/2016 15:49,,
10641545,HZ364212,7/6/2016 0:00,045XX S CICERO AVE,266,CRIM SEXUAL ASSAULT,FALSE,TRUE,814,8,23,56,2,,,2016,8/16/2016 15:49,,
